"","X","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","Region"
"50",50,"Clupeiformes","Clupeidae","Sardinops sagax","South American pilchard","N","P","P","2.8","LC","Y","GI","2",7,"0",0,"PAC S"
"51",51,"Clupeiformes","Clupeidae","Spratelloides gracilis","Silver-stripe r. herring","N","P","P","3.1","LC","Y","GI","3",10,"4",40,"IND"
"52",52,"Clupeiformes","Clupeidae","Sprattus sprattus","European sprat","N","P","P","3","NE","Y","GI","3",141,"1",0.71,"ATL N"
"53",53,"Clupeiformes","Clupeidae","Sprattus sprattus","European sprat","N","P","P","3","NE","Y","GI","3",154,"n/a",0.9,"ATL N"
"54",54,"Clupeiformes","Clupeidae","Strangomera benticki","Araucanian herring","N","P","P","2.7","NE","Y","GI","2",10,"0",0,"PAC S"
"55",55,"Clupeiformes","Engraulidae","Cetengraulis mysticetus","Pacific anchoveta","N","P","P","2.5","LC","Y","GI","2",40,"1",2.5,"PAC S"
"56",56,"Clupeiformes","Engraulidae","Coilia nasus","Jap. grenadier anchovy","N","P","P","3","NE","Y","GI","3",18,"18",100,"PAC N"
"57",57,"Clupeiformes","Engraulidae","Encrasicholina heteroloba","Shorthead anchovy","N","P","P","3.3","NE","Y","GI","3",10,"4",40,"IND"
"58",58,"Clupeiformes","Engraulidae","Engraulis australis","Australian anchovy","N","P","P","3","NE","Y","G, GI","2",10,"0",0,"PAC S"
"59",59,"Clupeiformes","Engraulidae","Engraulis encrasicolus","European anchovy","N","P","P","3.1","NE","Y","G","3",3,"2",66.67,"MED"
"60",60,"Clupeiformes","Engraulidae","Engraulis encrasicolus","European anchovy","N","P","P","3.1","NE","Y","GI","2",105,"15",14.29,"MED"
"61",61,"Clupeiformes","Engraulidae","Engraulis japonicus","Japanese anchovy","N","P","P","3.1","NE","Y","GI","3",64,"49",76.56,"PAC N"
"62",62,"Clupeiformes","Engraulidae","Engraulis mordax","Californian anchovy","N","P","P","3.1","LC","Y","GI","3",10,"3",30,"PAC N"
"63",63,"Clupeiformes","Engraulidae","Engraulis ringens","Anchoveta","N","P","P","2.9","LC","Y","GI","2",116,"1",0.86,"PAC S"
"64",64,"Gadiformes","Gadidae","Boreogadus saida","Polar cod","N-O","BP","P","3.1","NE","Y","GI","3",85,"15",17.65,"ATL N"
"65",65,"Gadiformes","Gadidae","Boreogadus saida","Polar cod","N-O","BP","P","3.1","NE","Y","G ","2",72,"2",2.78,"ATL N"
