"","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","binary"
"46","Gadiformes","Gadidae","Melanogrammus aeglefinus","Haddock","N-O",NA,"BP",4,"VU","Y","GI","3","97","6",6.19,1
"47","Gadiformes","Gadidae","Merlangius merlangus","Whiting","N-O",NA,"BP",4.4,"NE","Y","GI","3","105","6",5.71,1
"48","Gadiformes","Gadidae","Micromesistius poutassou","Blue whiting","N-O","P","BP",4.1,"NE","Y","GI","2","27","14",51.85,1
"49","Gadiformes","Gadidae","Pollachius pollachius","Pollack","N-O","BP","BP",4.3,"NE","Y","GI","2","5","0",0,0
"50","Gadiformes","Gadidae","Pollachius virens","Saithe","N-O",NA,"BP",4.3,"NE","Y","n/a",NA,"1","1",100,1
"51","Gadiformes","Gadidae","Trisopterus luscus","pout whiting","N-O","BP","BP",3.7,"NE","Y","G","1","3076","1",0.03,1
"52","Gadiformes","Gadidae","Trisopterus minutus","Poor cod","N",NA,"BP",3.7,"LC","Y","GI","2","50","20",40,1
"53","Gadiformes","Lotidae","Ciliata mustela","Fivebeard rockling","N",NA,"BP",3.5,"NE","Y","GI"," ","113","6",5.31,1
"54","Gadiformes","Lotidae","Gaidropsaurus macrophthalmus","Bigeye rockling","N-O",NA,"BP",3.5,"LC","Y","G","1","725","0",0,0
"55","Gadiformes","Lotidae","Molva macrophthalma","Spanish ling","O",NA,"BP",4.5,"NE","N","GI ","2","13","0",0,0
"56","Gadiformes","Lotidae","Molva molva","Ling ","O",NA,"BP",4.4,"NE","Y","GI","2","5","0",0,0
"57","Gadiformes","Macrouridae","Coryphaenoides rupestris","Roundnose grenadier","O","P","PP",3.5,"CR","Y","GI","2","5","0",0,0
"58","Gadiformes","Macrouridae","Trachyrincus scabrus","Roughsnout grenadier","O","BP","P",3.6,"NE","Y","G, GI, I","1","18","6",33.33,1
"59","Gadiformes","Merlucciidae","Merluccius binilearis","Silver hake","N",NA,"BP",4.5,"NT","Y","GI","1","134","0",0,0
"60","Gadiformes","Merlucciidae","Merluccius merluccius","European Hake","N-O",NA,"BP",4.4,"NE","Y","GI","3","3","3",100,1
"61","Gadiformes","Phycidae","Phycis blennoides","Greater forkbeard","N-O",NA,"BP",3.7,"NE","Y","GI","2","46","0",0,0
"62","Gadiformes","Phycidae","Phycis phycis ","Forkbeard","N-O",NA,"BP",4.3,"LC","Y","GI","3","8","7",87.5,1
"63","Gasterosteiformes","Gasterosteidae","Gasterosteus aculeatus","Three-spined stickleback","N","BP","BP",3.3,"LC","Y","GI","3","355","0",0,0
"64","Lampriformes","Lampridae","Lampris sp.","Big-eye moonfish/opah","O","P","PP",4.2,"NE","Y","G","1","115","49",42.61,1
"65","Lampriformes","Lampridae","Lampris sp.","Small-eye moonfish/opah","O","P","PP",4.2,"NE","Y","G","1","24","14",58.33,1
"66","Lampriformes","Lampridae","Lampris immaculatus","Southern opah","O","P","PP",4.4,"NE","BC","n/a","1","69","10",14.49,1
"67","Lophiiformes","Lophiidae","Lophius budegassa","Blackbellied angler","N-O","B","BP",4.4,"DD","Y","G","1","505","0",0,0
"68","Lophiiformes","Lophiidae","Lophius piscatorius","Angler","N-O",NA,"BP",4.5,"NE","Y","G","2","2","1",50,1
"69","Mugiliformes","Mugilidae","Aldrichetta forsteri","Yellow-eye mullet","N",NA,"O",2.5,"NE","Y","G, GI","2","17","0",0,0
"70","Mugiliformes","Mugilidae","Chelon auratus","Golden grey mullet","N","BP","O",2.8,"LC","Y","GI","3","39","17",43.59,1
"71","Mugiliformes","Mugilidae","Ellochelon vaigiensis","Squaretail mullet","N","BP","O",2.2,"LC","Y","GI","3","33","16",48.48,1
"72","Mugiliformes","Mugilidae","Liza haematocheila","So-iuy mullet","N","BP","O",2.5,"NE","Y","GI","3","18","18",100,1
"73","Mugiliformes","Mugilidae","Mugil cephalus","Flat-head grey mullet","N","BP","O",2.5,"LC","Y","GI","2","70","51",72.86,1
"74","Myctophiformes","Myctophidae","Benthosema glaciale","Glacier lanternfish","O","P","P",3,"NE","N","GI","3","27","6",22.22,1
"75","Myctophiformes","Myctophidae","Benthosema pterotum","Skinnycheek lanternfish","O","P","P",3.1,"LC","N","GI","3","10","1",10,1
"76","Myctophiformes","Myctophidae","Bolinichthys longipes","Popeye lampfish","O","P","P",3.1,"NE","N","G","2","3","0",0,0
"77","Myctophiformes","Myctophidae","Centrobranchus andreae","Andre's lanternfish","O","P","P",3.4,"NE","N","n/a","1","5","2",40,1
"78","Myctophiformes","Myctophidae","Ceratoscopelus warmingii","Warming's lanternfish","O","P","P",3.4,"NE","Y","G","2","8","0",0,0
"79","Myctophiformes","Myctophidae","Diaphus anderseni","Andersen's lanternfish","O","P","P",3.1,"NE","N","G","2","13","2",15.38,1
"80","Myctophiformes","Myctophidae","Diaphus fulgens","n/a","O","P","P",3.1,"NE","N","G","2","7","2",28.57,1
"81","Myctophiformes","Myctophidae","Diaphus metopoclampus","Spothead lanternfish","O","P","P",3.3,"LC","N","G","?","296","1",0.34,1
"82","Myctophiformes","Myctophidae","Diaphus phillipsi","Bolin's lanternfish","O","P","P",3.1,"NE","N","G","2","1","1",100,1
"83","Myctophiformes","Myctophidae","Diaphus rafinesquii","White-spotted lanternfish","O","P","P",3.4,"LC","N","G ","3","34","24",70.59,1
"84","Myctophiformes","Myctophidae","Diogenichthys atlanticus","Longfin lanternfish","O","P","P",3.1,"NE","Y","G","2","5","0",0,0
"85","Myctophiformes","Myctophidae","Electrona risso","Electric lanternfish","O","P","P",3.4,"LC","N","G","?","82","5",6.1,1
"86","Myctophiformes","Myctophidae","Gymnoscopelus nicholsi","Nichol's lanternfish","N-O","P","P",3.4,"NE","Y","G, GI","2","39","0",0,0
"87","Myctophiformes","Myctophidae","Hygophum benoiti","Benoit's lanternfish","O","P","P",3,"LC","N","G","?","73","5",6.85,1
"88","Myctophiformes","Myctophidae","Hygophum proximum","Firefly lanternfish","O","P","P",3.2,"LC","N","G","2","2","0",0,0
"89","Myctophiformes","Myctophidae","Lampadena urophaos","Sunbeam lampfish","O","P","P",3.2,"NE","Y","G","2","1","0",0,0
"90","Myctophiformes","Myctophidae","Lampanyctus crocodilus","Jewel lanternfish","O","P","P",3.2,"NE","N","GI","3","2","0",0,0
"91","Myctophiformes","Myctophidae","Lampanyctus macdonaldi","Rakery beaconlamp","O","P","P",3.1,"LC","N","G ","3","16","12",75,1
"92","Myctophiformes","Myctophidae","Lobianchia gemellarii","Cocco's lanternfish","O","P","P",3,"NE","Y","G","2","3","1",33.33,1
"93","Myctophiformes","Myctophidae","Mychtophum lychnobium","n/a","O","P","P",3.2,"LC","N","n/a","1","17","7",41.18,1
"94","Myctophiformes","Myctophidae","Myctophum nitidulum","Pearly lanternfish","O","P","P",3.4,"NE","Y","G","2","25","4",16,1
"95","Myctophiformes","Myctophidae","Myctophum punctatum","Spotted lanternfish","O","P","P",3.4,"NE","N","G","?","71","3",4.23,1
"96","Myctophiformes","Myctophidae","Nannobrachium fernae","n/a","O","P","P",3.1,"NE","N","G","2","1","0",0,0
"97","Myctophiformes","Myctophidae","Nannobrachium hawaiiensis","n/a","O","P","P",3.1,"NE","N","G","2","17","0",0,0
